FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,B365H,B365D,B365A,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SOH,SOD,SOA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5,B365>2.5,B365<2.5
0,0,D,0,0,D,15,7,5,3,1.727,3.25,4.333,1.6,3.4,4.5,1.8,3.1,3.8,1.615,3.25,5.0,1.83,3.4,3.75,1.727,3.2,5.0,1.66,3.3,4.5,1.82,1.82,,
2,3,A,2,1,H,5,21,5,12,2.8,3.25,2.2,2.96,3.15,2.25,2.9,3.0,2.2,2.8,3.2,2.2,2.75,3.25,2.25,3.0,3.25,2.2,2.75,3.1,2.3,1.87,1.77,,
2,2,D,1,0,H,13,10,9,5,2.25,3.25,2.75,2.39,3.11,2.81,2.3,3.0,2.7,2.25,3.2,2.75,2.38,3.2,2.63,2.4,3.1,2.8,2.3,3.1,2.75,1.92,1.72,,
4,1,H,3,1,H,13,3,6,1,1.727,3.25,4.333,1.83,3.26,4.05,1.8,3.1,3.8,1.833,3.2,3.75,1.91,3.25,3.5,1.8,3.2,4.333,1.72,3.2,4.33,1.82,1.82,,
3,0,H,2,0,H,13,18,8,10,1.667,3.4,4.5,1.73,3.45,4.6,1.7,3.2,4.2,1.615,3.5,4.5,1.67,3.4,4.5,1.727,3.4,4.5,1.66,3.3,4.5,1.72,1.92,,
1,0,H,0,0,D,20,6,13,5,1.2,5.0,12.0,1.24,5.2,12.0,1.2,5.0,10.0,1.2,5.0,11.0,1.2,5.0,13.0,1.2,5.5,13.0,1.2,5.0,11.0,1.52,2.22,,
0,0,D,0,0,D,12,11,5,5,2.25,3.25,2.75,2.36,3.27,2.79,2.2,3.0,2.9,2.2,3.25,2.75,2.25,3.25,2.75,2.2,3.25,3.0,2.62,3.1,2.37,1.97,1.67,,
2,0,H,2,0,H,15,7,7,1,1.222,5.0,10.0,1.2,4.8,13.2,1.25,4.5,9.0,1.25,4.5,10.0,1.25,4.5,10.0,1.25,5.0,11.0,1.22,5.0,9.5,1.57,2.13,,
0,1,A,0,0,D,11,12,5,6,3.0,3.25,2.1,3.01,3.26,2.15,2.9,3.0,2.2,3.0,3.2,2.1,2.88,3.25,2.2,3.4,3.1,2.1,3.2,3.0,2.1,1.87,1.77,,
4,0,H,0,0,D,13,7,10,4,1.571,3.4,5.5,1.66,3.55,4.75,1.65,3.3,4.4,1.615,3.5,4.5,1.5,3.5,6.0,1.667,3.4,5.0,1.57,3.5,5.0,1.65,1.95,,
2,2,D,2,1,H,11,9,5,7,2.75,3.25,2.25,2.79,3.26,2.45,2.5,3.0,2.5,2.75,3.2,2.25,2.75,3.25,2.25,2.875,3.1,2.375,2.7,3.0,2.37,1.65,1.97,,
0,1,A,0,1,A,15,13,10,9,2.625,3.2,2.375,2.6,3.25,2.52,2.6,3.0,2.4,2.4,3.25,2.5,2.63,3.2,2.38,2.625,3.2,2.5,2.5,3.1,2.5,1.87,1.75,,
1,2,A,1,1,D,15,8,9,4,2.1,3.25,3.0,2.26,3.2,3.1,2.2,3.0,2.9,2.2,3.25,2.75,2.2,3.25,2.8,2.2,3.25,3.0,2.1,3.1,3.1,1.85,1.85,,
3,0,H,1,0,H,16,7,9,1,1.333,4.333,7.5,1.36,4.4,9.2,1.3,4.2,8.0,1.364,3.75,8.0,1.29,4.5,8.5,1.333,4.333,9.0,1.28,4.33,8.5,1.74,1.9,,
1,0,H,1,0,H,20,9,12,6,2.5,3.2,2.5,2.83,3.25,2.4,2.7,3.0,2.3,2.75,3.25,2.2,2.75,3.25,2.25,2.7,3.25,2.4,2.62,3.25,2.3,1.77,1.97,,
2,2,D,1,0,H,6,10,3,4,2.0,3.25,3.25,2.07,3.2,3.55,2.0,3.1,3.2,2.0,3.4,3.0,2.0,3.25,3.25,2.05,3.1,3.5,1.83,3.2,3.75,1.92,1.8,,
0,1,A,0,1,A,13,11,3,5,2.1,3.0,3.25,2.08,3.15,3.35,2.0,3.1,3.2,2.1,3.2,3.0,2.0,3.25,3.25,2.1,3.2,3.25,2.1,3.1,3.1,1.97,1.8,,
1,0,H,1,0,H,8,18,3,8,1.833,3.25,3.75,1.98,3.2,3.9,1.9,3.1,3.5,1.909,3.2,3.5,1.83,3.25,3.75,1.95,3.2,3.75,1.8,3.1,4.0,1.75,1.85,,
1,3,A,0,1,A,12,11,2,4,3.75,3.25,1.833,4.1,3.35,1.86,3.5,3.1,1.9,4.0,3.2,1.8,4.5,3.4,1.67,3.8,3.25,1.909,4.2,3.25,1.72,1.85,1.75,,
2,2,D,1,0,H,8,9,4,5,4.0,3.5,1.727,4.85,3.5,1.75,4.2,3.2,1.7,4.0,3.4,1.727,4.33,3.25,1.73,4.75,3.3,1.727,4.33,3.2,1.72,1.75,1.87,,
5,2,H,3,0,H,10,8,8,6,1.17,5.5,13.0,1.15,6.5,12.0,1.2,5.0,10.0,1.2,5.0,11.0,1.18,6.0,13.0,1.17,5.5,13.0,1.16,5.5,12.0,,,,
0,1,A,0,1,A,10,7,5,1,2.4,3.2,2.6,2.5,3.25,2.5,2.3,3.0,2.7,2.4,3.25,2.5,2.5,3.2,2.62,2.5,3.2,2.5,2.5,3.1,2.5,1.8,1.8,,
1,0,H,0,0,D,11,7,6,1,2.2,3.25,2.8,2.25,3.2,2.85,2.1,3.0,3.1,2.2,3.25,2.75,2.25,3.25,2.9,2.25,3.25,2.75,2.2,3.2,2.8,1.8,1.9,,
2,2,D,1,1,D,7,5,4,3,3.0,3.25,2.1,3.0,3.25,2.15,2.8,2.9,2.3,3.4,3.25,1.91,3.0,3.25,2.2,3.25,3.25,2.0,3.0,3.2,2.1,1.9,1.8,,
1,1,D,0,0,D,11,5,4,2,1.67,3.4,4.5,1.65,3.3,5.0,1.6,3.4,4.6,1.67,3.25,4.5,1.62,3.4,5.5,1.67,3.4,4.5,1.66,3.3,4.5,1.85,1.75,,
0,1,A,0,0,D,20,9,9,4,1.5,3.4,6.5,1.4,3.8,7.5,1.4,3.9,6.0,1.44,3.6,6.5,1.5,3.6,6.5,1.44,3.6,7.0,1.36,3.75,8.0,1.92,1.85,,
1,1,D,0,0,D,12,10,4,3,3.0,3.25,2.1,3.0,3.25,2.15,3.2,3.1,2.0,2.75,3.25,2.2,3.0,3.25,2.2,3.0,3.25,2.1,3.2,3.2,2.0,1.85,1.79,,
2,1,H,1,0,H,9,8,5,6,4.0,3.25,1.8,4.2,3.42,1.91,3.5,3.1,1.9,4.333,3.4,1.667,4.0,3.2,1.8,4.0,3.25,1.85,4.0,3.1,1.8,1.85,1.75,,
3,1,H,2,1,H,7,14,6,8,1.727,3.25,4.333,1.8,3.3,4.1,1.8,3.1,3.8,1.8,3.2,4.0,1.8,3.2,4.0,1.85,3.25,4.0,1.72,3.2,4.33,1.75,1.86,,
1,0,H,0,0,D,7,10,3,7,2.2,3.25,2.8,2.22,3.0,3.2,2.2,3.0,2.9,2.2,3.25,2.75,2.25,3.25,2.75,2.25,3.25,2.9,2.2,3.2,2.8,1.85,1.75,,
1,1,D,0,1,A,12,20,5,10,5.0,3.4,1.615,5.6,3.6,1.6,4.4,3.3,1.65,4.5,3.25,1.667,5.0,3.5,1.57,5.5,3.4,1.615,5.5,3.4,1.53,1.65,1.95,,
2,1,H,1,1,D,18,15,8,8,1.667,3.4,4.5,1.63,3.45,5.0,1.65,3.3,4.4,1.571,3.5,5.0,1.62,3.4,5.0,1.615,3.4,5.5,1.57,3.3,5.5,1.85,1.85,,
1,0,H,0,0,D,8,6,5,1,2.625,3.2,2.375,2.85,3.2,2.32,2.7,3.0,2.3,2.75,3.2,2.25,2.8,3.25,2.2,2.875,3.2,2.3,2.87,3.1,2.2,1.85,1.75,,
0,2,A,0,2,A,9,5,4,3,1.727,3.5,4.0,1.73,3.4,4.2,1.7,3.2,4.2,1.667,3.4,4.333,1.73,3.25,4.33,1.8,3.25,4.333,1.72,3.2,4.33,1.85,1.85,,
1,0,H,0,0,D,13,12,6,5,2.5,3.0,2.625,2.53,3.15,2.7,2.4,3.0,2.6,2.6,3.2,2.375,2.63,3.2,2.38,2.5,3.2,2.625,2.5,3.1,2.5,1.9,1.9,,
1,1,D,1,0,H,8,8,2,5,3.0,3.0,2.25,2.88,3.25,2.4,2.7,3.0,2.3,2.75,3.2,2.25,2.8,3.25,2.2,2.9,3.2,2.25,2.87,3.0,2.25,1.75,1.91,,
2,2,D,0,0,D,22,11,11,6,1.615,3.4,5.0,1.67,3.56,4.86,1.65,3.3,4.4,1.571,3.5,5.0,1.62,3.4,5.0,1.667,3.4,5.0,1.66,3.3,4.5,1.75,1.91,,
1,0,H,1,0,H,7,5,1,3,1.333,4.0,9.0,1.33,4.68,9.0,1.35,4.0,7.0,1.286,4.5,8.0,1.29,4.5,8.5,1.333,4.5,8.5,,,,1.72,1.95,,
2,1,H,2,1,H,13,5,5,4,1.333,4.333,7.5,1.43,4.2,8.0,1.3,4.2,8.0,1.3,4.333,8.0,1.33,4.0,8.5,1.333,4.5,8.0,1.3,4.33,8.0,1.65,2.22,,
3,0,H,2,0,H,9,8,7,6,2.1,3.0,3.25,2.11,3.05,3.45,2.0,3.0,3.3,2.0,3.0,3.4,1.91,3.0,3.75,2.1,3.1,3.4,2.0,3.0,3.4,2.05,1.68,,
2,0,H,0,0,D,12,8,5,2,1.8,3.25,4.0,1.96,3.25,4.12,1.9,3.1,3.5,1.909,3.2,3.5,1.83,3.25,3.75,1.85,3.25,4.0,1.8,3.25,3.8,1.93,1.83,,
2,3,A,2,1,H,11,14,6,9,2.5,3.2,2.5,2.61,3.0,2.7,2.5,3.0,2.5,2.5,3.2,2.5,2.5,3.2,2.5,2.5,3.1,2.7,2.37,3.1,2.62,1.9,1.73,,
3,2,H,0,2,A,13,7,8,4,2.375,3.2,2.625,2.55,3.2,2.6,2.5,3.0,2.5,2.375,3.2,2.6,2.5,3.2,2.5,2.4,3.1,2.8,2.4,3.1,2.6,2.0,1.72,,
2,2,D,1,0,H,12,6,10,3,1.25,4.5,11.0,1.27,4.6,12.0,1.25,4.5,9.0,1.333,3.75,9.0,1.25,4.5,10.0,1.286,4.6,10.0,1.28,4.5,8.0,1.7,1.97,,
0,1,A,0,0,D,23,10,14,8,1.2,5.5,10.0,1.24,5.5,12.5,1.25,4.5,9.0,1.222,5.0,10.0,1.2,5.5,11.0,1.2,5.5,12.0,1.22,5.0,9.5,1.56,2.25,,
0,2,A,0,1,A,22,14,11,6,2.1,3.25,3.0,2.13,3.2,3.19,1.9,3.1,3.5,2.2,3.2,2.8,2.0,3.25,3.25,2.2,3.2,3.1,2.0,3.2,3.2,1.77,1.95,,
1,0,H,0,0,D,11,18,7,10,2.0,3.25,3.25,1.9,3.3,3.5,2.0,3.1,3.2,2.0,3.2,3.2,2.1,3.25,3.0,2.1,3.25,3.25,2.0,3.2,3.2,1.94,1.72,,
0,1,A,0,1,A,5,6,3,5,1.571,3.4,5.5,1.6,3.45,5.5,1.6,3.4,4.6,1.615,3.5,4.5,1.53,3.4,6.0,1.571,3.4,6.0,1.61,3.3,5.0,1.77,1.9,,
2,3,A,0,1,A,7,12,5,8,4.333,3.25,1.727,4.75,3.3,1.77,3.8,3.1,1.8,5.0,3.25,1.615,4.5,3.4,1.67,4.333,3.4,1.75,4.33,3.2,1.72,1.75,1.9,,
0,3,A,0,1,A,9,10,3,8,5.0,3.4,1.615,4.75,3.4,1.73,4.2,3.2,1.7,4.5,3.25,1.667,5.0,3.4,1.62,5.0,3.4,1.667,4.5,3.3,1.66,1.73,1.9,,
3,0,H,2,0,H,7,5,5,0,1.909,3.25,3.5,2.05,3.25,3.25,1.8,3.1,3.8,2.0,3.2,3.2,2.0,3.25,3.25,2.0,3.25,3.5,2.0,3.2,3.2,1.7,1.9,,
2,1,H,1,1,D,13,10,8,5,2.3,3.2,2.7,2.25,3.25,2.85,2.3,3.0,2.7,2.25,3.2,2.75,2.2,3.25,2.8,2.3,3.2,2.875,2.37,3.1,2.62,1.95,1.75,,
1,0,H,0,0,D,8,6,2,5,2.75,3.0,2.375,2.9,3.25,2.41,2.7,3.0,2.3,2.6,3.2,2.375,2.88,3.2,2.2,2.875,3.2,2.3,2.87,3.0,2.25,1.75,1.85,,
0,3,A,0,1,A,8,5,5,4,2.1,3.25,3.0,2.21,3.25,2.95,2.2,3.0,2.9,2.25,3.2,2.75,2.2,3.25,2.8,2.2,3.25,3.0,2.2,3.2,2.8,1.92,1.75,,
1,0,H,0,0,D,11,10,7,5,2.25,3.25,2.75,2.25,3.2,2.9,2.2,3.0,2.9,2.2,3.25,2.75,2.2,3.25,2.8,2.25,3.25,2.9,2.2,3.2,2.8,1.9,1.7,,
2,2,D,0,1,A,15,12,7,8,1.909,3.25,3.5,2.05,3.2,3.3,2.1,3.0,3.1,2.0,3.2,3.2,2.0,3.25,3.25,2.05,3.2,3.4,2.0,3.2,3.2,1.67,2.0,,
3,2,H,0,0,D,12,11,3,1,1.667,3.4,4.5,1.8,3.25,4.35,1.8,3.1,3.8,1.727,3.2,4.333,1.67,3.4,4.5,1.727,3.4,4.5,1.72,3.2,4.33,1.82,1.9,,
3,0,H,1,0,H,12,8,5,1,2.5,3.0,2.625,2.55,3.17,2.81,2.5,3.0,2.5,2.375,3.0,2.75,2.38,3.2,2.63,2.4,3.2,2.7,2.5,3.1,2.5,2.01,1.72,,
2,1,H,1,0,H,14,8,9,3,1.2,5.5,10.0,1.28,5.2,11.0,1.25,4.5,9.0,1.2,5.0,11.0,1.2,5.5,10.0,1.222,5.5,11.0,1.22,5.0,9.5,1.62,2.05,,
2,0,H,0,0,D,23,5,14,2,1.25,4.5,11.0,1.32,4.75,9.5,1.3,4.2,8.0,1.286,4.333,9.0,1.29,4.5,8.5,1.3,4.5,10.0,1.33,4.0,8.0,1.77,1.95,,
1,0,H,0,0,D,16,10,9,5,1.444,3.75,6.5,1.45,3.9,6.5,1.4,3.9,6.0,1.5,3.4,6.0,1.44,3.6,7.0,1.5,3.6,6.5,1.44,3.6,6.5,1.63,2.1,,
1,0,H,1,0,H,9,12,4,3,1.667,3.4,4.5,1.72,3.3,4.55,1.75,3.2,4.0,1.667,3.25,4.5,1.73,3.25,4.33,1.727,3.4,4.5,1.66,3.3,4.5,1.9,1.7,,
2,0,H,2,0,H,11,8,6,4,1.727,3.2,4.5,1.7,3.32,4.6,1.8,3.1,3.8,1.667,3.25,4.5,1.73,3.25,4.33,1.727,3.4,4.5,1.66,3.3,4.5,1.82,1.85,,
0,0,D,0,0,D,13,6,5,5,2.0,3.25,3.25,2.1,3.25,3.45,2.1,3.0,3.1,1.909,3.25,3.4,2.0,3.25,3.25,2.1,3.25,3.25,2.0,3.2,3.2,1.95,1.7,,
0,0,D,0,0,D,9,8,5,6,2.1,3.25,3.0,2.05,3.35,3.2,2.0,3.1,3.2,2.0,3.4,3.0,2.1,3.25,3.0,2.05,3.2,3.25,2.1,3.25,2.9,1.72,1.9,,
3,2,H,1,0,H,12,14,8,7,1.833,3.25,3.75,1.85,3.2,4.0,1.85,3.1,3.6,1.8,3.2,4.0,1.91,3.25,3.5,1.909,3.2,3.8,1.9,3.1,3.6,2.02,1.75,,
1,0,H,1,0,H,11,7,7,5,2.75,3.25,2.25,2.75,3.2,2.3,2.9,3.0,2.2,2.6,3.2,2.375,2.63,3.2,2.38,2.8,3.2,2.3,2.6,3.1,2.4,1.82,1.85,,
0,0,D,0,0,D,8,11,3,4,2.625,3.0,2.5,2.65,3.15,2.47,2.7,3.0,2.3,2.75,3.2,2.25,2.75,3.25,2.25,2.75,3.25,2.375,2.5,3.1,2.5,1.7,1.92,,
0,2,A,0,1,A,11,13,5,6,2.625,3.2,2.375,2.55,3.05,2.45,2.7,3.0,2.3,2.5,3.25,2.4,2.5,3.2,2.5,2.6,3.2,2.5,2.75,3.2,2.25,1.75,1.85,,
1,1,D,0,0,D,19,10,10,6,2.0,3.25,3.25,2.05,3.29,3.45,2.0,3.1,3.2,2.2,3.2,2.8,2.0,3.25,3.25,2.0,3.25,3.5,2.0,3.2,3.2,1.95,1.65,,
1,3,A,1,0,H,7,13,3,7,4.5,3.4,1.667,4.9,3.45,1.68,4.2,3.2,1.7,4.33,3.2,1.73,4.5,3.4,1.67,5.0,3.4,1.67,4.5,3.3,1.66,1.65,1.95,,
2,3,A,1,1,D,12,16,9,11,1.571,3.4,5.5,1.58,3.5,6.0,1.6,3.4,4.6,1.5,3.4,6.0,1.53,3.4,6.0,1.571,3.4,6.0,1.57,3.3,5.5,1.7,1.9,,
2,0,H,2,0,H,15,12,9,6,2.25,3.25,2.75,2.41,3.15,2.82,2.4,3.0,2.6,2.25,3.2,2.75,2.38,3.2,2.63,2.3,3.2,2.8,2.5,3.1,2.5,1.9,1.7,,
1,4,A,0,2,A,9,7,3,6,3.0,3.25,2.1,3.15,3.22,2.31,2.9,3.0,2.2,2.8,3.2,2.2,3.0,3.25,2.1,3.0,3.25,2.2,3.2,3.2,2.0,1.75,1.92,,
0,3,A,0,1,A,14,9,6,6,2.8,3.25,2.2,3.05,3.25,2.23,2.9,3.0,2.2,3.0,3.4,2.0,2.8,3.25,2.2,3.0,3.25,2.2,3.0,3.2,2.1,1.75,1.85,,
1,0,H,0,0,D,8,12,6,5,2.375,3.0,2.75,2.38,3.15,2.8,2.3,3.0,2.7,2.38,3.2,2.6,2.38,3.2,2.63,2.38,3.1,2.88,2.4,3.1,2.6,2.18,1.6,,
0,3,A,0,1,A,12,18,4,12,1.833,3.25,3.75,1.93,3.3,3.9,1.9,3.1,3.5,1.73,3.4,4.0,1.8,3.2,4.0,1.909,3.25,3.75,1.83,3.2,3.75,1.8,1.8,,
0,2,A,0,0,D,9,10,8,5,2.6,3.2,2.4,2.47,3.27,2.6,2.5,3.0,2.5,2.6,3.2,2.38,2.5,3.2,2.5,2.6,3.2,2.5,2.6,3.1,2.4,1.9,1.87,,
2,0,H,1,0,H,13,11,2,4,1.533,3.5,5.5,1.67,3.42,4.81,1.6,3.4,4.6,1.57,3.5,5.0,1.53,3.4,6.0,1.571,3.5,5.75,1.57,3.3,5.5,1.95,1.65,,
2,1,H,1,1,D,14,5,8,3,1.4,3.75,7.5,1.48,3.85,7.25,1.45,3.8,5.4,1.4,3.75,7.0,1.44,3.5,7.0,1.364,4.0,9.0,1.36,3.75,8.0,1.8,1.8,,
2,0,H,2,0,H,19,11,13,4,2.3,3.2,2.7,2.36,3.2,2.82,2.3,3.0,2.7,2.2,3.25,2.75,2.25,3.25,2.75,2.375,3.2,2.75,2.37,3.1,2.62,1.9,1.7,,
1,2,A,1,2,A,13,10,6,4,1.727,3.25,4.333,1.73,3.35,4.5,1.65,3.3,4.4,1.67,3.4,4.33,1.73,3.25,4.33,1.667,3.4,4.75,1.72,3.25,4.2,1.75,1.85,,
3,1,H,3,0,H,9,4,5,2,1.167,5.5,13.0,1.23,5.35,13.5,1.2,5.0,10.0,1.17,5.5,12.0,1.17,5.5,13.0,1.182,6.0,12.0,1.14,6.0,12.0,1.55,2.15,,
0,0,D,0,0,D,16,6,5,3,2.6,3.2,2.4,2.58,3.15,2.63,2.5,3.0,2.5,2.75,3.0,2.38,2.75,3.25,2.25,2.7,3.2,2.4,2.6,3.1,2.4,1.9,1.7,,
1,2,A,0,1,A,12,9,7,6,2.1,3.25,3.0,2.2,3.2,3.0,2.1,3.0,3.1,2.0,3.2,3.2,2.1,3.25,3.0,2.05,3.25,3.2,2.1,3.2,3.0,1.75,1.85,,
1,0,H,1,0,H,9,14,5,7,1.667,3.4,4.5,1.76,3.3,4.4,1.8,3.1,3.8,1.73,3.2,4.33,1.67,3.4,4.5,1.7,3.4,4.75,1.72,3.2,4.33,1.85,1.75,,
1,0,H,0,0,D,12,8,8,0,1.727,3.25,4.333,1.75,3.3,4.4,1.75,3.2,4.0,1.73,3.2,4.33,1.83,3.25,3.75,1.727,3.25,4.5,1.83,3.2,3.75,1.7,1.9,,
3,0,H,0,0,D,17,8,12,4,1.3,4.5,8.0,1.29,4.75,9.5,1.25,4.5,9.0,1.29,4.33,9.0,1.25,4.5,10.0,1.286,4.5,10.0,1.28,4.5,8.0,1.57,2.15,,
5,2,H,2,1,H,21,5,11,5,2.3,3.2,2.7,2.5,3.15,2.75,2.2,3.0,2.9,2.4,3.25,2.5,2.38,3.2,2.62,2.4,3.2,2.7,2.3,3.1,2.75,1.9,1.87,,
2,1,H,1,1,D,10,9,6,3,5.5,3.5,1.533,5.25,3.5,1.64,4.4,3.3,1.65,5.0,3.5,1.57,5.5,3.25,1.62,5.5,3.4,1.615,5.5,3.3,1.57,1.8,1.9,,
1,1,D,1,0,H,12,8,6,5,4.333,3.25,1.727,4.0,3.35,1.83,3.8,3.1,1.8,4.0,3.2,1.8,4.0,3.2,1.83,4.0,3.4,1.8,3.8,3.25,1.8,1.72,2.01,,
0,1,A,0,0,D,12,13,5,6,2.75,3.0,2.375,2.91,3.17,2.42,2.6,3.1,2.3,2.6,3.2,2.38,2.62,3.0,2.5,2.75,3.2,2.375,2.87,3.1,2.2,1.75,1.98,,
0,3,A,0,0,D,11,8,8,6,2.6,3.2,2.4,2.81,3.15,2.45,2.5,3.0,2.5,2.6,3.2,2.38,2.75,3.25,2.25,2.6,3.2,2.5,2.62,3.1,2.37,1.75,1.88,,
0,1,A,0,1,A,7,7,2,1,2.0,3.25,3.25,2.15,3.25,3.25,1.9,3.1,3.5,2.1,3.2,3.0,2.2,3.2,2.88,2.1,3.2,3.25,2.2,3.1,2.87,1.95,1.82,,
1,1,D,0,0,D,18,7,7,1,2.375,3.0,2.75,2.4,3.1,2.8,2.3,3.0,2.7,2.25,3.2,2.75,2.25,3.25,2.75,2.3,3.25,2.8,2.25,3.2,2.75,2.0,1.8,,
1,0,H,1,0,H,14,9,7,5,2.8,3.2,2.25,2.96,3.3,2.25,2.5,3.0,2.5,2.6,3.2,2.38,2.75,3.25,2.25,2.8,3.2,2.3,2.75,3.2,2.25,1.93,1.7,,
